name,first,last,initials,pos,tags
diana ross,dn,rs,dr,PN,famous
raquel welch,rql,wlch,rw,PN,famous
billy dee williams,bl,wlms,check,PN,famous
susannah york,snh,rk,sy,PN,famous
karen black,krn,blck,kb,PN,famous
eileen brennan,ln,brn,eb,PN,famous
bruce dern,brc,drn,bd,PN,famous
samantha eggar,smnth,gr,se,PN,famous
dustin hoffman,dstn,hfmn,dh,PN,famous
anthony hopkins,nthn,hpkns,ah,PN,famous
sally kirkland,sl,krklnd,sk,PN,famous
sylvia miles,slv,mls,sm,PN,famous
ryan o'neal,rn,'nl,ro,PN,famous
robert redford,rbrt,rdfrd,rr,PN,famous
rob reiner,rb,rnr,rr,PN,famous
ann-margret,n-mrgrt,,,PN,famous
james caan,jms,cn,jc,PN,famous
tippi hedren,tp,hdrn,th,PN,famous
john hurt,jhn,hrt,jh,PN,famous
sarah miles,srh,mls,sm,PN,famous
dudley moore,dl,mr,dm,PN,famous
joe pesci,j,psc,jp,PN,famous
roy scheider,r,schdr,rs,PN,famous
martin sheen,mrtn,shn,ms,PN,famous
chaim topol,chm,tpl,ct,PN,famous
brenda vaccaro,brnd,vcr,bv,PN,famous
gene wilder,gn,wldr,gw,PN,famous
mary badham,mr,bdhm,mb,PN,famous
klaus maria brandauer,kls,brndr,check,PN,famous
tom courtenay,tm,crtn,tc,PN,famous
robert de niro,rbrt,nr,check,PN,famous
olympia dukakis,lmp,dks,od,PN,famous
faye dunaway,f,dnw,fd,PN,famous
sally field,sl,fld,sf,PN,famous
peter fonda,ptr,fnd,pf,PN,famous
lynn redgrave,ln,rdgrv,lr,PN,famous
katharine ross,kthrn,rs,kr,PN,famous
terence stamp,trnc,stmp,ts,PN,famous
donald sutherland,dnld,sthrlnd,ds,PN,famous
janet suzman,jnt,szmn,js,PN,famous
lesley ann warren,lsl,wrn,check,PN,famous
cher,chr,,,PN,famous
pauline collins,pln,clns,pc,PN,famous
tom conti,tm,cnt,tc,PN,famous
melinda dillon,mlnd,dln,md,PN,famous
teri garr,tr,gr,tg,PN,famous
judd hirsch,jd,hrsch,jh,PN,famous
richard pryor,rchrd,pr,rp,PN,famous
sam shepard,sm,shprd,ss,PN,famous
jon voight,jn,vght,jv,PN,famous
dom deluise,dm,dls,dd,PN,famous
gérard depardieu,gérd,dprd,gd,PN,famous
richard dreyfuss,rchrd,drfs,rd,PN,famous
morgan freeman,mrgn,frmn,mf,PN,famous
brenda fricker,brnd,frckr,bf,PN,famous
elliott gould,lt,gld,eg,PN,famous
elizabeth hartman,lzbth,hrtmn,eh,PN,famous
madeline kahn,mdln,khn,mk,PN,famous
cleavon little,clvn,ltl,cl,PN,famous
malcolm mcdowell,mlclm,mcdwl,mm,PN,famous
pat morita,pt,mrt,pm,PN,famous
susan tyrrell,sn,trl,st,PN,famous
sam waterston,sm,wtrstn,sw,PN,famous
candice bergen,cndc,brgn,cb,PN,famous
jodie foster,jd,fstr,jf,PN,famous
giancarlo giannini,gncrl,gn,gg,PN,famous
barbara hershey,brbr,hrsh,bh,PN,famous
timothy hutton,tmth,htn,th,PN,famous
frank langella,frnk,lngl,fl,PN,famous
bette midler,bt,mdlr,bm,PN,famous
charlotte rampling,chrlt,rmplng,cr,PN,famous
